Topic,Magnitude,StartDate,EndDate,MatchSize
wa ha nt one trump see never,278,2020-07-26 15:12:58,2020-07-26 15:16:14,1
need like year right time day long,156,2020-07-26 15:12:58,2020-07-26 15:16:12,1
love happy ha wa birthday even would,148,2020-07-26 15:12:59,2020-07-26 15:16:13,1
music july hobi doolsetbangtan today jijinjung guest,134,2020-07-26 15:13:00,2020-07-26 15:16:11,1
thank one wa going like thought need,193,2020-07-26 15:12:58,2020-07-26 15:16:13,1
follow retweet follower like ha everyone tweet,121,2020-07-26 15:12:58,2020-07-26 15:16:11,1
re like hate day get trump new,170,2020-07-26 15:12:58,2020-07-26 15:16:11,1
btstwt bts mtvhottest park oh na wearing,103,2020-07-26 15:12:59,2020-07-26 15:16:13,1
jongdae support nt end get protect sm,99,2020-07-26 15:12:58,2020-07-26 15:16:06,1
like tdy nt time vote louis ll,118,2020-07-26 15:12:58,2020-07-26 15:16:12,1
fuck get nt know man amp game,140,2020-07-26 15:12:59,2020-07-26 15:16:13,1
listen day love mask yes song free,91,2020-07-26 15:13:02,2020-07-26 15:16:11,1
people didn raise parent miss boy wa,68,2020-07-26 15:12:59,2020-07-26 15:16:13,1
re amp mask like member wa know,181,2020-07-26 15:12:58,2020-07-26 15:16:13,1
na gon kid never wa album single,172,2020-07-26 15:12:59,2020-07-26 15:16:13,1
jungkook jimin still love day think much,181,2020-07-26 15:13:00,2020-07-26 15:16:10,1
trump gt one wa god know want,133,2020-07-26 15:12:59,2020-07-26 15:16:11,1
amp wa like feel got day think,261,2020-07-26 15:12:58,2020-07-26 15:16:13,1
nt today re ha wa people th,247,2020-07-26 15:12:58,2020-07-26 15:16:10,1
one back people wa time trump stop,202,2020-07-26 15:12:59,2020-07-26 15:16:13,1
wa ha nt one trump see never,34,2020-07-26 15:13:06,2020-07-26 15:16:12,2
need like year right time day long,11,2020-07-26 15:13:02,2020-07-26 15:16:12,2
love happy ha wa birthday even would,12,2020-07-26 15:13:29,2020-07-26 15:16:03,2
music july hobi doolsetbangtan today jijinjung guest,88,2020-07-26 15:13:00,2020-07-26 15:16:11,2
thank one wa going like thought need,12,2020-07-26 15:13:12,2020-07-26 15:16:11,2
follow retweet follower like ha everyone tweet,34,2020-07-26 15:13:06,2020-07-26 15:16:10,2
re like hate day get trump new,10,2020-07-26 15:13:15,2020-07-26 15:15:48,2
btstwt bts mtvhottest park oh na wearing,84,2020-07-26 15:13:01,2020-07-26 15:16:12,2
jongdae support nt end get protect sm,57,2020-07-26 15:12:58,2020-07-26 15:16:03,2
like tdy nt time vote louis ll,35,2020-07-26 15:13:01,2020-07-26 15:16:09,2
fuck get nt know man amp game,11,2020-07-26 15:13:09,2020-07-26 15:16:10,2
listen day love mask yes song free,39,2020-07-26 15:13:07,2020-07-26 15:16:11,2
people didn raise parent miss boy wa,20,2020-07-26 15:13:01,2020-07-26 15:16:13,2
re amp mask like member wa know,12,2020-07-26 15:13:03,2020-07-26 15:15:51,2
na gon kid never wa album single,59,2020-07-26 15:13:01,2020-07-26 15:16:13,2
jungkook jimin still love day think much,21,2020-07-26 15:13:11,2020-07-26 15:16:10,2
trump gt one wa god know want,6,2020-07-26 15:13:11,2020-07-26 15:16:07,2
amp wa like feel got day think,17,2020-07-26 15:12:58,2020-07-26 15:15:32,2
nt today re ha wa people th,37,2020-07-26 15:13:04,2020-07-26 15:16:08,2
one back people wa time trump stop,22,2020-07-26 15:13:10,2020-07-26 15:16:01,2
wa ha nt one trump see never,1,2020-07-26 15:13:59,2020-07-26 15:13:59,3
need like year right time day long,1,2020-07-26 15:14:31,2020-07-26 15:14:31,3
love happy ha wa birthday even would,1,2020-07-26 15:14:22,2020-07-26 15:14:22,3
music july hobi doolsetbangtan today jijinjung guest,47,2020-07-26 15:13:00,2020-07-26 15:16:09,3
thank one wa going like thought need,1,2020-07-26 15:14:05,2020-07-26 15:14:05,3
follow retweet follower like ha everyone tweet,9,2020-07-26 15:13:06,2020-07-26 15:15:32,3
re like hate day get trump new,0,NULL,NULL,3
btstwt bts mtvhottest park oh na wearing,18,2020-07-26 15:13:02,2020-07-26 15:15:47,3
jongdae support nt end get protect sm,32,2020-07-26 15:12:58,2020-07-26 15:16:03,3
like tdy nt time vote louis ll,0,NULL,NULL,3
fuck get nt know man amp game,0,NULL,NULL,3
listen day love mask yes song free,14,2020-07-26 15:13:07,2020-07-26 15:16:08,3
people didn raise parent miss boy wa,0,NULL,NULL,3
re amp mask like member wa know,0,NULL,NULL,3
na gon kid never wa album single,50,2020-07-26 15:13:01,2020-07-26 15:16:13,3
jungkook jimin still love day think much,0,NULL,NULL,3
trump gt one wa god know want,0,NULL,NULL,3
amp wa like feel got day think,0,NULL,NULL,3
nt today re ha wa people th,2,2020-07-26 15:14:03,2020-07-26 15:16:00,3
one back people wa time trump stop,0,NULL,NULL,3
