Topic,EventDate,MatchSize
jongdae support nt end get protect sm,2020-07-26 15:12:58,1
wa ha nt one trump see never,2020-07-26 15:12:58,1
need like year right time day long,2020-07-26 15:12:58,1
re like hate day get trump new,2020-07-26 15:12:58,1
wa ha nt one trump see never,2020-07-26 15:12:58,1
thank one wa going like thought need,2020-07-26 15:12:58,1
nt today re ha wa people th,2020-07-26 15:12:58,1
need like year right time day long,2020-07-26 15:12:58,1
follow retweet follower like ha everyone tweet,2020-07-26 15:12:58,1
re like hate day get trump new,2020-07-26 15:12:58,1
re amp mask like member wa know,2020-07-26 15:12:58,1
amp wa like feel got day think,2020-07-26 15:12:58,1
like tdy nt time vote louis ll,2020-07-26 15:12:58,1
nt today re ha wa people th,2020-07-26 15:12:58,1
need like year right time day long,2020-07-26 15:12:58,1
re like hate day get trump new,2020-07-26 15:12:58,1
btstwt bts mtvhottest park oh na wearing,2020-07-26 15:12:59,1
need like year right time day long,2020-07-26 15:12:59,1
people didn raise parent miss boy wa,2020-07-26 15:12:59,1
trump gt one wa god know want,2020-07-26 15:12:59,1
re like hate day get trump new,2020-07-26 15:12:59,1
one back people wa time trump stop,2020-07-26 15:12:59,1
na gon kid never wa album single,2020-07-26 15:12:59,1
follow retweet follower like ha everyone tweet,2020-07-26 15:12:59,1
wa ha nt one trump see never,2020-07-26 15:12:59,1
love happy ha wa birthday even would,2020-07-26 15:12:59,1
nt today re ha wa people th,2020-07-26 15:12:59,1
fuck get nt know man amp game,2020-07-26 15:12:59,1
fuck get nt know man amp game,2020-07-26 15:12:59,1
nt today re ha wa people th,2020-07-26 15:12:59,1
wa ha nt one trump see never,2020-07-26 15:13:00,1
wa ha nt one trump see never,2020-07-26 15:13:00,1
jungkook jimin still love day think much,2020-07-26 15:13:00,1
wa ha nt one trump see never,2020-07-26 15:13:00,1
nt today re ha wa people th,2020-07-26 15:13:00,1
one back people wa time trump stop,2020-07-26 15:13:00,1
wa ha nt one trump see never,2020-07-26 15:13:00,1
na gon kid never wa album single,2020-07-26 15:13:00,1
amp wa like feel got day think,2020-07-26 15:13:00,1
like tdy nt time vote louis ll,2020-07-26 15:13:00,1
like tdy nt time vote louis ll,2020-07-26 15:13:00,1
music july hobi doolsetbangtan today jijinjung guest,2020-07-26 15:13:00,1
need like year right time day long,2020-07-26 15:13:00,1
btstwt bts mtvhottest park oh na wearing,2020-07-26 15:13:01,1
wa ha nt one trump see never,2020-07-26 15:13:01,1
na gon kid never wa album single,2020-07-26 15:13:01,1
re amp mask like member wa know,2020-07-26 15:13:01,1
people didn raise parent miss boy wa,2020-07-26 15:13:01,1
thank one wa going like thought need,2020-07-26 15:13:01,1
re amp mask like member wa know,2020-07-26 15:13:01,1
amp wa like feel got day think,2020-07-26 15:13:01,1
thank one wa going like thought need,2020-07-26 15:13:01,1
like tdy nt time vote louis ll,2020-07-26 15:13:01,1
music july hobi doolsetbangtan today jijinjung guest,2020-07-26 15:13:01,1
jungkook jimin still love day think much,2020-07-26 15:13:02,1
need like year right time day long,2020-07-26 15:13:02,1
like tdy nt time vote louis ll,2020-07-26 15:13:02,1
one back people wa time trump stop,2020-07-26 15:13:02,1
btstwt bts mtvhottest park oh na wearing,2020-07-26 15:13:02,1
follow retweet follower like ha everyone tweet,2020-07-26 15:13:02,1
listen day love mask yes song free,2020-07-26 15:13:02,1
na gon kid never wa album single,2020-07-26 15:13:03,1
thank one wa going like thought need,2020-07-26 15:13:03,1
re amp mask like member wa know,2020-07-26 15:13:03,1
amp wa like feel got day think,2020-07-26 15:13:03,1
fuck get nt know man amp game,2020-07-26 15:13:03,1
